test_id,language,input_message,expected_spm_intent,category,expected_entities,expected_source_gate,expected_business_outcome,critical,parity_group,verification_mode,runtime_status,notes
RT-033,ar,ابني بالصف السابع، لأي صفوف بتدرّسوا؟,grade_inquiry,intent_coverage,grade=7,APPROVED_KB_OR_LOGIC,Answer grade support from approved taxonomy without losing known grade context.,False,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-034,fr,Suivez-vous le programme de l’Ontario pour la 9e année?,curriculum_inquiry,intent_coverage,grade=9; province=Ontario,APPROVED_KB_OR_LOGIC,Require country/province context before making curriculum-specific claims.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-035,en,My daughter has a Grade 12 chemistry exam next month. Can you help her prepare?,exam_preparation,intent_coverage,grade=12; subject=Chemistry,APPROVED_KB_OR_LOGIC,Preserve grade/subject/exam goal and continue needs discovery without guarantees.,False,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-036,ar,عنده واجب في الكسور للصف الخامس ومحتاج مساعدة اليوم,homework_help,intent_coverage,grade=5; topic=fractions,APPROVED_KB_OR_LOGIC,Recognize homework support and preserve grade/topic; do not promise immediate tutor availability.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-037,fr,Mon fils a des lacunes en algèbre de 10e année.,learning_gap,intent_coverage,grade=10; topic=algebra,APPROVED_KB_OR_LOGIC,Treat as learning gap without diagnosing; preserve grade/subject/topic.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-038,en,She is ahead of her Grade 6 class and wants more challenging math.,advanced_learning,intent_coverage,grade=6; subject=Math,APPROVED_KB_OR_LOGIC,Recommend advanced support without unsupported academic guarantees.,False,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-039,ar,شو بصير بالحصة التجريبية؟ وكم مدتها؟,trial_details,intent_coverage,,APPROVED_KB_OR_LOGIC,Explain only verified trial details; do not imply trial is booked.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-040,fr,Combien d'années d'expérience ont vos professeurs?,teacher_experience,intent_coverage,,VERIFIED_TEACHER_OR_POLICY,Use verified teacher/process evidence only; no invented experience for a specific tutor.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-041,en,Can the tutor teach my child in Arabic and English?,teacher_language,intent_coverage,teaching_language=Arabic|English,VERIFIED_TEACHER_OR_POLICY,Treat language as preference and require verified matching/availability before confirming.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-042,ar,من أي بلد المدرسين؟,teacher_origin,intent_coverage,,VERIFIED_TEACHER_OR_POLICY,Do not invent tutor origin; use verified profiles/process only.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-043,fr,Je voudrais changer de professeur.,change_teacher,intent_coverage,,APPROVED_KB_OR_LOGIC,Support route; preserve state and request team handling without claiming change executed.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-044,en,Do you have any openings tomorrow after 5 pm?,availability,intent_coverage,preferred_time=after 5 pm,SCHEDULING_LIVE,Require timezone then live scheduling evidence; never invent slots.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-045,ar,هل عندكم حصص يوم الأحد؟,weekend_lessons,intent_coverage,,SCHEDULING_LIVE,Require timezone and live availability before confirming weekend slots.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-046,fr,Avez-vous des cours le soir?,evening_lessons,intent_coverage,,SCHEDULING_LIVE,Require timezone and live availability before confirming evening slots.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-047,en,Please cancel lesson L-777.,cancel_lesson,intent_coverage,lesson_id=L-777,POLICY_AND_LIVE_STATE,Check live lesson/policy state; never claim cancellation succeeded without system success.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-048,ar,ابني غاب عن الحصة رقم L-888، شو بصير؟,missed_lesson,intent_coverage,lesson_id=L-888,POLICY_AND_LIVE_STATE,Use policy plus live lesson state; do not guess balance/remedy.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-049,fr,Comment fonctionne exactement le cours en ligne?,online_class_how_it_works,intent_coverage,,APPROVED_KB_OR_LOGIC,Explain verified online-class workflow from approved knowledge.,False,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-050,en,"Do we need Zoom, a tablet, or a laptop?",technology_requirements,intent_coverage,,APPROVED_KB_OR_LOGIC,Return only configured technology requirements.,False,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-051,ar,كم حصة بالأسبوع بتنصحوا؟,lesson_frequency,intent_coverage,,APPROVED_KB_OR_LOGIC,Explain verified options/recommendation logic without inventing a mandatory schedule.,False,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-052,fr,Faites-vous une évaluation du niveau avant de commencer?,assessment,intent_coverage,,APPROVED_KB_OR_LOGIC,Explain verified assessment process only.,False,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-053,en,How do you track whether my child is improving?,progress_tracking,intent_coverage,,APPROVED_KB_OR_LOGIC,Use verified progress-tracking process; no guaranteed outcomes.,False,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-054,ar,هل بتطابقوا منهج أونتاريو للصف 11 في الفيزياء؟,curriculum_alignment,intent_coverage,province=Ontario; grade=11; subject=Physics,APPROVED_CURRICULUM_SOURCE,Require approved curriculum source before alignment claim.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-055,fr,Fournissez-vous des devoirs ou du matériel après le cours?,materials_homework,intent_coverage,,APPROVED_KB_OR_LOGIC,Use approved knowledge for materials/homework only.,False,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-056,en,I want to register my son for Grade 8 math.,registration,intent_coverage,grade=8; subject=Math,CRM_VALIDATION,Validate required lead fields and consent; do not claim registration written before tool success.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-057,ar,ممكن ترجعوا تتواصلوا معي بكرة؟,follow_up,intent_coverage,,APPROVED_KB_OR_LOGIC,Follow-up eligible only with contact consent and no sticky opt-out; no automatic scheduling claim.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-058,fr,En quoi êtes-vous différents d'un autre centre de tutorat?,competitor_comparison,intent_coverage,,APPROVED_KB_OR_LOGIC,Compare service approach without disparaging or inventing competitor facts.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-059,en,I don't think online tutoring works as well as in-person.,online_learning_objection,intent_coverage,,APPROVED_KB_OR_LOGIC,"Address concern using approved objection guidance, no pressure or guarantee.",True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-060,ar,ابني ما بيركز أونلاين نهائياً,child_attention_objection,intent_coverage,,APPROVED_KB_OR_LOGIC,Acknowledge attention concern without diagnosis; use approved one-to-one value evidence.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-061,fr,Je ne suis pas sûr de la qualité des professeurs.,teacher_quality_objection,intent_coverage,,APPROVED_KB_OR_LOGIC,Use approved tutor-quality objection guidance and verified process only.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-062,en,I need to think about it for a few days.,need_to_think,intent_coverage,,APPROVED_KB_OR_LOGIC,Respect pause; do not auto-schedule follow-up.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-063,ar,أنا مش مبسوط من الخدمة وبدي أشتكي,complaint,intent_coverage,,APPROVED_KB_OR_LOGIC,Support overrides sales; preserve context; no sales CTA; no false handoff success.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-064,fr,La classe ne s'ouvre pas et le son ne fonctionne pas.,technical_issue,intent_coverage,,APPROVED_KB_OR_LOGIC,Support first; no sales CTA; preserve issue details for handoff.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-065,en,I can't log in to my account.,account_login,intent_coverage,,APPROVED_KB_OR_LOGIC,Support first; do not request unnecessary academic qualification.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-066,ar,غيروا رقمي إلى +1 416 555 0199 والبريد إلى new@example.com,update_contact_info,intent_coverage,phone=+1 416 555 0199; email=new@example.com,CRM_VALIDATION,Validate contact update; do not echo full PII; no CRM success claim before tool success.,True,,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-067,en,How much is the 12-lesson package?,pricing,multilingual_parity,package=12,PACKAGES_LIVE_CONFIG,Use PACKAGES live config only; same commercial outcome across languages.,True,PARITY_PRICING_12,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
RT-068,ar,كم سعر باقة 12 حصة؟,pricing,multilingual_parity,package=12,PACKAGES_LIVE_CONFIG,Use PACKAGES live config only; same commercial outcome across languages.,True,PARITY_PRICING_12,RUNTIME_SEMANTIC_REQUIRED,NOT_RUN,
