test_id,language,category,critical,expected_intent,actual_intent,expected_source_gate,actual_source_gate,runtime_health,automated_gate,manual_semantic_review,runtime_status,execution_id,correlation_id,answer_excerpt,failure_codes,reviewer_notes
RT-001,en,authoritative_runtime_base,NO,greeting,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-002,en,authoritative_runtime_base,NO,subject_inquiry,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-003,ar,authoritative_runtime_base,NO,learning_goal,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-004,en,authoritative_runtime_base,YES,pricing,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-005,ar,authoritative_runtime_base,YES,pricing,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-006,fr,authoritative_runtime_base,YES,pricing,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-007,en,authoritative_runtime_base,NO,package_comparison,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-008,en,authoritative_runtime_base,YES,discount_request,,AUTHORIZED_OFFER_REQUIRED,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-009,en,authoritative_runtime_base,YES,sibling_discount,,AUTHORIZED_OFFER_REQUIRED,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-010,ar,authoritative_runtime_base,NO,multiple_children,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-011,en,authoritative_runtime_base,NO,free_trial,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-012,fr,authoritative_runtime_base,NO,free_trial,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-013,en,authoritative_runtime_base,YES,payment_methods,,MARKET_PAYMENT_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-014,en,authoritative_runtime_base,YES,payment_problem,,PAYMENT_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-015,en,authoritative_runtime_base,YES,refund_policy,,POLICY_AND_LIVE_STATE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-016,ar,authoritative_runtime_base,YES,cancellation_policy,,POLICY_AND_LIVE_STATE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-017,en,authoritative_runtime_base,YES,teacher_quality,,VERIFIED_TEACHER_OR_POLICY,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-018,ar,authoritative_runtime_base,YES,teacher_gender,,VERIFIED_TEACHER_OR_POLICY,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-019,en,authoritative_runtime_base,YES,teacher_availability,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-020,ar,authoritative_runtime_base,YES,schedule_request,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-021,en,authoritative_runtime_base,YES,timezone,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-022,en,authoritative_runtime_base,YES,reschedule,,POLICY_AND_LIVE_STATE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-023,en,authoritative_runtime_base,NO,lesson_duration,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-024,en,authoritative_runtime_base,NO,parent_reporting,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-025,en,authoritative_runtime_base,YES,ready_to_register,,CRM_VALIDATION,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-026,en,authoritative_runtime_base,YES,contact_share,,CRM_VALIDATION,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-027,en,authoritative_runtime_base,YES,booking_confirmation,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-028,en,authoritative_runtime_base,YES,price_objection,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-029,ar,authoritative_runtime_base,YES,not_interested,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-030,fr,authoritative_runtime_base,YES,human_handoff,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-031,en,authoritative_runtime_base,NO,out_of_scope,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-032,en,authoritative_runtime_base,YES,pricing,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-033,ar,intent_coverage,NO,grade_inquiry,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-034,fr,intent_coverage,YES,curriculum_inquiry,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-035,en,intent_coverage,NO,exam_preparation,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-036,ar,intent_coverage,YES,homework_help,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-037,fr,intent_coverage,YES,learning_gap,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-038,en,intent_coverage,NO,advanced_learning,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-039,ar,intent_coverage,YES,trial_details,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-040,fr,intent_coverage,YES,teacher_experience,,VERIFIED_TEACHER_OR_POLICY,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-041,en,intent_coverage,YES,teacher_language,,VERIFIED_TEACHER_OR_POLICY,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-042,ar,intent_coverage,YES,teacher_origin,,VERIFIED_TEACHER_OR_POLICY,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-043,fr,intent_coverage,YES,change_teacher,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-044,en,intent_coverage,YES,availability,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-045,ar,intent_coverage,YES,weekend_lessons,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-046,fr,intent_coverage,YES,evening_lessons,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-047,en,intent_coverage,YES,cancel_lesson,,POLICY_AND_LIVE_STATE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-048,ar,intent_coverage,YES,missed_lesson,,POLICY_AND_LIVE_STATE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-049,fr,intent_coverage,NO,online_class_how_it_works,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-050,en,intent_coverage,NO,technology_requirements,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-051,ar,intent_coverage,NO,lesson_frequency,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-052,fr,intent_coverage,NO,assessment,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-053,en,intent_coverage,NO,progress_tracking,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-054,ar,intent_coverage,YES,curriculum_alignment,,APPROVED_CURRICULUM_SOURCE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-055,fr,intent_coverage,NO,materials_homework,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-056,en,intent_coverage,YES,registration,,CRM_VALIDATION,,,NOT_RUN,PENDING,NOT_RUN,,,,,
